timestamp,moneda,precio_vela_1_apertura,precio_vela_1_cierre,precio_vela_2_apertura,precio_vela_2_cierre,tendencia,apuesta,monto,modo,binance_price_entry,polymarket_price_entry,market_url,fee_percent,spread_percent,raw_pnl,pnl_after_fees,simulado_pnl,real_pnl,saldo_before,saldo_after,drawdown_acumulado,price_discrepancy,coincidencia_sim_real,comentario
2026-03-30 05:55:04,BTC,67542.390000,67533.990000,67542.390000,67527.500000,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.012%, c2=0.022%, umbral=0.2%)"
2026-03-30 05:55:04,XRP,1.355700,1.356000,1.355700,1.356900,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.022%, c2=0.089%, umbral=0.2%)"
2026-03-30 05:55:04,ETH,2050.470000,2049.920000,2050.470000,2049.800000,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.027%, c2=0.033%, umbral=0.2%)"
2026-03-30 05:55:04,SOL,83.690000,83.700000,83.690000,83.560000,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.012%, c2=0.155%, umbral=0.2%)"
2026-03-30 06:00:04,BTC,67542.390000,67527.500000,67527.500000,67492.460000,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.022%, c2=0.052%, umbral=0.2%)"
2026-03-30 06:00:04,ETH,2050.470000,2049.800000,2049.810000,2047.840000,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.033%, c2=0.096%, umbral=0.2%)"
2026-03-30 06:00:04,XRP,1.355700,1.356900,1.357000,1.351900,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.089%, c2=0.376%, umbral=0.2%)"
2026-03-30 06:00:05,SOL,83.690000,83.560000,83.570000,83.640000,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.155%, c2=0.084%, umbral=0.2%)"
2026-03-30 06:25:04,BTC,67328.010000,67326.960000,67328.010000,67319.990000,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.002%, c2=0.012%, umbral=0.2%)"
2026-03-30 06:25:04,XRP,1.352600,1.352000,1.352600,1.351900,sin_clara,N/A,0.0000,SIM,0.000000,0.000000,,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,100.0000,100.0000,0.0000,0.0000,,"Volatilidad baja (c1=0.044%, c2=0.052%, umbral=0.2%)"
